trader,title,year_or_status,video_id_or_type,topics,extraction_depth,source_strength,kraken_small_account_fit,url
Peter Brandt,How a 50-Year Veteran Thinks About Risk Management (Chat With Traders #329),2026,podcast/video,risk; sizing; weekly/daily process; ADX; 18DMA; ATR breakout; payoff distribution,HIGH,DIRECT_PRIMARY,HIGH,https://chatwithtraders.com/episode/329-peter-brandt
Peter Brandt,48 Years of Trading Lessons with Market Wizard Peter Brandt,2023/24,R1sNTB2Vh7w,process; classical charts; risk; loss handling,MEDIUM,DIRECT_INTERVIEW,HIGH,https://www.youtube.com/watch?v=R1sNTB2Vh7w
Peter Brandt,Real Vision Series Ep. 1 — A Life in Charts,2017,series,background; chart philosophy; risk mindset,MEDIUM,DIRECT_PRIMARY_INDEX,MEDIUM,https://www.peterlbrandt.com/factor-knowledge-center/
Peter Brandt,Real Vision Series Ep. 2 — Risk Management,2017,series,risk rules; ratios; survival,MEDIUM,DIRECT_PRIMARY_INDEX,HIGH,https://www.peterlbrandt.com/factor-knowledge-center/
Peter Brandt,Real Vision Series Ep. 3 — Classical Charting & Technical Analysis,2017,series,patterns; false breakouts; practical examples,MEDIUM,DIRECT_PRIMARY_INDEX,HIGH,https://www.peterlbrandt.com/factor-knowledge-center/
Peter Brandt,Three Day Trailing Stop (Video),2025,site-video,3DTSR; protective stop management,MEDIUM,DIRECT_PRIMARY,HIGH,https://www.peterlbrandt.com/three-day-trailing-stop-video/
CryptoCred,Risk Management UPDATED,public,XeQV2ECtZVQ,risk; stop; position sizing; R multiple,HIGH,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=XeQV2ECtZVQ
CryptoCred,Entry Triggers UPDATED,public,7mnz-JxhHnk,trading plan; entry trigger; confirmation,MEDIUM,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=7mnz-JxhHnk
CryptoCred,Horizontal Support/Resistance UPDATED,public,j5pBnAiQz-c,S/R; level quality; flips; retests,HIGH,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=j5pBnAiQz-c
CryptoCred,Support/Resistance Trade Setup (CDC),public,owF4u48hUKI,complete S/R trade setup; confirmation,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=owF4u48hUKI
CryptoCred,Retests,public,inqHN8q57X4,micro vs rounded retest; breakout/retest,HIGH,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=inqHN8q57X4
CryptoCred,First Trouble Area,public,Yp0k8HD5xro,target; management; entry obstacle,HIGH,DIRECT_PUBLIC_VIDEO,VERY_HIGH,https://www.youtube.com/watch?v=Yp0k8HD5xro
CryptoCred,Pattern Failure,public,f9mkEe-Y67A,failed breakouts; reversal context,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=f9mkEe-Y67A
CryptoCred,Daily Open Trade Strategy,public,jUTKg5SiSZ0,daily open; intraday context,MEDIUM,DIRECT_PUBLIC_VIDEO,MEDIUM,https://www.youtube.com/watch?v=jUTKg5SiSZ0
CryptoCred,How To Use Candlestick Highs/Lows to Trade Reversals,public,nPDk5qPbf08,candle H/L; reversal structure,MEDIUM,DIRECT_PUBLIC_VIDEO,HIGH,https://www.youtube.com/watch?v=nPDk5qPbf08
